Country Name,Country Code,Series Name,Series Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,41.95668313,42.3336876,48.98633088,53.08021299,54.76335277,39.72382062,43.76344883,51.1857978,60.26255729
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.190169287,2.759385972,2.279591798,2.878469715,2.171545057,-0.119590736,2.111168148,4.242385553,3.4419922
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12,1.56E+12,1.69E+12,1.73E+12
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,56739.02653,49888.04108,53901.71454,57196.42208,54972.70179,51791.54018,60607.77886,64997.01365,64820.91179
Australia,AUS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55691.69885,56341.51816,56684.64733,57450.38104,57837.06069,57059.74364,58182.33695,59883.64704,60447.16088
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.4628582,5.43038559,5.321255684,5.409676075,5.508588791,5.378280163,5.333209991,5.206776619,..
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..
Australia,AUS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..
Australia,AUS,"School enrollment, primary (% gross)",SE.PRM.ENRR,101.6654892,101.180687,100.6376572,100.3987122,100.1996994,99.90110779,99.92915344,99.13298798,..
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,159.1107635,155.5943909,153.5761261,136.105545,144.0565643,137.4907379,135.5265656,133.2772675,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.4,82.44878049,82.5,82.74878049,82.9,83.2,83.3,83.2,83.05121951
Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.17367649,10.08972931,10.11242294,10.05163097,10.21285057,10.66040134,10.42525291,9.92687893,..
Australia,AUS,"Population, total",SP.POP.TOTL,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26658948
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.701,85.8,85.904,86.012,86.124,86.241,86.362,86.488,86.617
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.439216653,1.561940498,1.646827797,1.49599671,1.477490711,1.233428251,0.140895083,1.272698814,2.447466169
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.06612629,19.27874425,21.25661748,21.89409054,24.159678,24.02673916,22.05667598,25.53158803,26.79924113
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,21.59780564,21.69533522,20.94711419,21.84197454,22.0278239,20.63771691,18.24580429,20.2901822,22.42594293
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.303523098,2.117219671,2.27225012,2.484220867,1.754976456,-6.318255287,4.795329106,5.277894212,-0.954962367
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,3.80E+11,3.94E+11,4.15E+11,4.53E+11,4.43E+11,4.34E+11,4.80E+11,4.72E+11,5.12E+11
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379
Austria,AUT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,61025.99931,61647.77934,62612.13992,63855.7815,64688.1438,60349.90213,62968.94223,65661.45202,64394.09045
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.456580162,5.47961998,5.371590137,5.226550102,5.217790127,5.571269989,5.494110107,4.774471283,..
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..
Austria,AUT,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..
Austria,AUT,"School enrollment, primary (% gross)",SE.PRM.ENRR,101.104393,100.4280777,101.1045685,101.3703003,101.7762909,101.5608521,101.6441193,100.7756271,..
Austria,AUT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,101.4115829,100.2279892,100.3378983,100.6925964,101.5436325,101.6905594,102.307663,101.4580002,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293,81.1902439,81.29512195,81.54146341
Austria,AUT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,3.7,3.6,3.6,3.5,3.5,3.4,3.3,3.2,3.1
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.36746693,10.3522625,10.38402557,10.34885597,10.48753643,11.31641102,12.15228558,11.15729332,10.87779903
Austria,AUT,"Population, total",SP.POP.TOTL,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.715,57.905,58.094,58.297,58.515,58.748,58.995,59.256,59.53
Austria,AUT,Population growth (annual %),SP.POP.GROW,1.120992502,1.081396299,0.694621104,0.487071925,0.444673639,0.415176732,0.435671684,0.956287797,0.989464654
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Austria,AUT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,53.39601227,52.66340208,54.32602968,55.70223947,55.89580739,51.66308997,55.9533597,61.96267341,59.46456662
Austria,AUT,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,49.72156947,48.91009251,51.23003708,52.6757305,52.31147751,48.28512414,55.07890903,62.42077807,57.34935279
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.093975916,-3.09999988,0.199999939,1.5,2.500000067,-4.300000102,5.616451029,4.714802365,1.123974327
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,53076235355,37866996883,40866627352,47112470052,48174235294,42693000000,54825411765,78807470588,72356176471
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7125.908584
Azerbaijan,AZE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,20694.77876,19830.32232,19675.95989,19798.83354,20122.71285,19126.0949,20111.3757,21051.26876,21262.298
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.951679945,2.903409958,2.473819971,2.455430031,3.176460028,4.332049847,3.702080011,3.046900034,3.582900286
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,100,100,100,..,100,..,..,..,100
Azerbaijan,AZE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,100,100,100,..,100,..,..,..,100
Azerbaijan,AZE,"School enrollment, primary (% gross)",SE.PRM.ENRR,106.6014862,106.4317398,103.2940979,99.7220993,97.93534851,98.23606873,97.73049927,99.8082962,101.9796982
Azerbaijan,AZE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,84.80985864,74.92250393,77.40803437,108.5179367,107.8998718,91.39689636,91.43228912,90.97299194,92.75891113
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.349,72.568,72.694,73.016,73.29,70.312,70.999,74.125,74.429
Azerbaijan,AZE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,27.8,26.3,24.9,23.6,22.4,21.3,20.4,19.4,18.6
